Gel, Telomere ID,Individual Treatment,Capture Date,Site,Nest,Age,Mass,Bill+Head,Flat Wing,Nestling Fate,Mean TRF,,,
5,T21N 372,Cold_Control,16-Jun-21,Unit_1,23,12,19.4,26.9,60,Fledged,7.76,,,
5,T21N 373,Cold_Control,16-Jun-21,Unit_2,8,12,18.9,26.8,62,Fledged,8.34,,,
5,T21N 374,Cold_Control,16-Jun-21,Unit_2,50,10,16.5,25.3,39,Fledged,10.2,,,
5,T21N 376,Cold_Cold,16-Jun-21,Unit_2,72,12,17.4,25.3,47,Fledged,9.65,,,
5,T21N 377,Cold_Cold,16-Jun-21,Unit_2,72,12,19.1,26.3,51,Fledged,9.58,,,
5,T21N 378,Cold_Cold,16-Jun-21,Unit_2,72,12,19.1,25.8,53,Fledged,9.85,,,
5,T21N 380,Cold_Cold,16-Jun-21,Unit_2,72,12,16.3,24.9,35,Fledged,10.62,,,
5,T21N 390,Cold_Control,16-Jun-21,Unit_2,96,10,21.7,25.4,46,Fledged,9.59,,,
5,T21N 392,Cold_Control,16-Jun-21,Unit_2,82,12,20,27.5,60,Fledged,8.97,,,
5,T21N 393,Cold_Control,16-Jun-21,Unit_2,82,12,20,26.7,58.5,Fledged,8.25,,,
5,T21N 394,Cold_Control,16-Jun-21,Unit_2,82,12,20.5,26.6,59,Fledged,8.37,,,
5,T21N 395,Cold_Control,16-Jun-21,Unit_2,82,12,21.1,26,52,Fledged,8.62,,,
5,T21N 414,Cold_Cold,17-Jun-21,Unit_1,51,12,17.2,25.3,47,Dead,11.94,,,
5,T21N 416,Cold_Cold,17-Jun-21,Unit_1,51,12,18.7,25.6,54,Fledged,11.71,,,
5,T21N 417,Cold_Cold,17-Jun-21,Unit_1,51,12,17.6,25.1,55,Fledged,11.69,,,
5,T21N 418,Cold_Cold,17-Jun-21,Unit_1,51,12,20.9,27.5,55,Fledged,11.38,,,
5,T21N 419,Cold_Control,17-Jun-21,Unit_1,60,12,17.7,29.2,55,Fledged,8.82,,,
5,T21N 420,Cold_Control,17-Jun-21,Unit_1,60,12,17,25,51,Fledged,9.46,,,
5,T21N 421,Cold_Control,17-Jun-21,Unit_1,60,12,18.9,26,58,Fledged,8.74,,,
6,T21N 379,Cold_Cold,16-Jun-21,Unit_2,72,12,18.4,25.4,52,Fledged,9.71,,,
6,T21N 423,Cold_Control,17-Jun-21,Unit_1,60,12,17.2,24.9,52,Fledged,9.12,,,
6,T21N 424,Cold_Cold,17-Jun-21,Unit_1,91,12,20.9,26.1,58,Fledged,10.65,,,
6,T21N 425,Cold_Cold,17-Jun-21,Unit_1,91,12,22.6,26.9,62,Fledged,9.96,,,
6,T21N 426,Cold_Cold,17-Jun-21,Unit_1,91,12,20,26.5,57,Fledged,11.4,,,
6,T21N 427,Cold_Cold,17-Jun-21,Unit_1,91,12,20.6,25.6,52.5,Fledged,11.38,,,
6,T21N 428,Cold_Control,17-Jun-21,Unit_1,121,12,20.6,26.3,56,Fledged,8.58,,,
6,T21N 429,Cold_Control,17-Jun-21,Unit_1,121,12,19.3,26,55,Fledged,8.74,,,
6,T21N 430,Cold_Control,17-Jun-21,Unit_1,121,12,20.7,25.4,49,Fledged,7.33,,,
6,T21N 431,Cold_Control,17-Jun-21,Unit_1,48,10,22.5,25.6,50,Fledged,7.54,,,
6,T21N 432,Cold_Cold,17-Jun-21,Unit_1,72,12,16.3,25,44,Fledged,9.44,,,
6,T21N 435,Cold_Cold,17-Jun-21,Unit_1,72,12,15.5,24.6,37,Dead,9.59,,,
6,T21N 447,Cold_Control,18-Jun-21,Unit_2,50,12,17.6,25.8,45,Fledged,10.84,,,
6,T21N 448,Cold_Control,18-Jun-21,Unit_2,50,12,17.6,26.3,44,Fledged,10.42,,,
6,T21N 450,Cold_Control,18-Jun-21,Unit_2,50,12,18.8,26.5,52,Fledged,10.43,,,
6,T21N 452,Cold_Control,18-Jun-21,Unit_2,50,12,16.7,25.1,41,Dead,11.87,,,
6,T21N 453,Cold_Control,18-Jun-21,Unit_2,96,12,21.4,26.8,60,Fledged ,9.74,,,
6,T21N 454,Cold_Control,18-Jun-21,Unit_2,96,12,18.8,27.2,59,Fledged,8.16,,,
6,T21N 456,Cold_Control,18-Jun-21,Unit_2,96,12,17.4,25.5,51,Fledged,8.97,,,
6,T21N 460,Cold_Cold,18-Jun-21,Unit_2,62,11,-,-,-,Fledged,7.79,,,
6,T21N 461,Cold_Cold,19-Jun-21,Unit_2,56,10,18.1,23.2,34,Fledged,10.42,,,
6,T21N 465,Cold_Cold,20-Jun-21,Unit_2,97,10,23,24.8,42,Fledged,11.29,,,
6,T21N 467,Cold_Cold,21-Jun-21,Unit_2,56,12,19,25,46,Fledged,10.12,,,
6,T21N 468,Cold_Cold,21-Jun-21,Unit_2,56,12,17.6,24.2,45,Fledged,9.19,,,
6,T21N 469,Cold_Cold,21-Jun-21,Unit_2,56,12,18.7,25.5,48,Fledged,9.57,,,
7,T21N 248,Cold_Cold,14-Jun-21,Unit_1,62,12,16.8,24.2,41,Fledged,10.2,,,
7,T21N 308,Cold_Cold,15-Jun-21,Unit_2,6,12,20.8,27.1,56,Fledged,10.14,,,
7,T21N 315B,Cold_Cold,15-Jun-21,Unit_2,123,12,17,25.1,44,Fledged,11.3,,,
7,T21N 369,Cold_Control,16-Jun-21,Unit_1,23,12,18.7,26.1,55,Dead,7.92,,,
7,T21N 375,Cold_Cold,16-Jun-21,Unit_2,72,12,18.7,25.4,51,Fledged,10.55,,,
7,T21N 391,Cold_Control,16-Jun-21,Unit_2,82,12,22.3,26.2,56.5,Fledged,9.91,,,
7,T21N 415,Cold_Cold,17-Jun-21,Unit_1,51,12,17.5,25.5,55,Fledged,11.87,,,
7,T21N 434,Cold_Cold,17-Jun-21,Unit_1,72,12,16.5,24.1,45.5,Dead,8.9,,,
7,T21N 449,Cold_Control,18-Jun-21,Unit_2,50,12,17.1,26,42,Dead,11.4,,,
7,T21N 451,Cold_Control,18-Jun-21,Unit_2,50,12,13.1,24.3,32,Dead,10.07,,,
7,T21N 455,Cold_Control,18-Jun-21,Unit_2,96,12,22.3,26.7,47,Fledged,9.84,,,
7,T21N 457,Cold_Control,18-Jun-21,Unit_2,96,12,20.6,27.4,54,Fledged,9.25,,,
7,T21N 462,Cold_Control,19-Jun-21,Unit_1,48,12,22.9,25.7,50,Fledged,7.53,,,
7,T21N 463,Cold_Control,19-Jun-21,Unit_1,48,12,20.5,25.1,56,Fledged,6.7,,,
7,T21N 464,Cold_Control,19-Jun-21,Unit_1,48,12,20,24.7,46,Fledged,8.28,,,
7,T21N 466,Cold_Cold,20-Jun-21,Unit_1,122,10,20.6,25.3,42,Fledged,9.45,,,
7,T21N 470,Cold_Cold,21-Jun-21,Unit_2,56,12,17.4,24.2,40,Fledged,9.77,,,
7,T21N 472,Cold_Cold,22-Jun-21,Unit_1,122,12,20,26.7,55,Fledged,8.96,,,
7,T21N 473,Cold_Cold,22-Jun-21,Unit_1,122,12,17.7,25.5,51,Fledged,9.14,,,
7,T21N 474,Cold_Cold,22-Jun-21,Unit_1,122,12,18.3,26.3,49,Fledged,10.56,,,
7,T21N 475,Cold_Cold,22-Jun-21,Unit_1,122,12,15.9,25.8,54,Dead,8.7,,,
7,T21N 476,Cold_Cold,22-Jun-21,Unit_2,97,12,20.6,26.2,54,Fledged,11.58,,,
7,T21N 477,Cold_Cold,22-Jun-21,Unit_2,97,12,20,26.4,57,Fledged,10.8,,,
7,T21N 478,Cold_Cold,22-Jun-21,Unit_2,97,12,20,27,57,Fledged,11.06,,,
