"Gel","Telomere.ID","Individual.Treatment","Capture.Date","Site","Nest","Age","Mass","Bill.Head","Flat.Wing","Nestling.Fate","Mean.TRF","X","X.1","X.2","yday","year","avgC_capture_day","maxC_capture_day","incubation_max_temp","incubation_avg_temp","incubation_below_18.5"
2,"T21N274","Cold_Cold",2021-06-14,"Unit_2",23,12,"19.3","26.1","56","Fledged",11.11,NA,NA,NA,165,2021,20.3333333333333,24.4444444444444,22.3202614379085,18.4509803921569,4
2,"T21N275","Cold_Cold",2021-06-14,"Unit_2",23,12,"20.5","26.4","57","Fledged",10.44,NA,NA,NA,165,2021,20.3333333333333,24.4444444444444,22.3202614379085,18.4509803921569,4
2,"T21N276","Cold_Cold",2021-06-14,"Unit_2",23,12,"17.6","25.5","55","Fledged",10.91,NA,NA,NA,165,2021,20.3333333333333,24.4444444444444,22.3202614379085,18.4509803921569,4
2,"T21N277","Cold_Cold",2021-06-14,"Unit_2",44,12,"20","27.1","54","Fledged",11.2,NA,NA,NA,165,2021,20.3333333333333,24.4444444444444,22.1111111111111,18.2469135802469,4
2,"T21N381A","Cold_Cold",2021-06-16,"Unit_1",89,12,"16.8","25.1","55","Fledged",9.81,NA,NA,NA,167,2021,16.3703703703704,19.4444444444444,NA,NA,NA
2,"T21N383","Cold_Cold",2021-06-16,"Unit_1",89,12,"17.5","26","54","Fledged",9.32,NA,NA,NA,167,2021,16.3703703703704,19.4444444444444,21.9791666666667,18.3055555555556,4
2,"T21N384B","Cold_Cold",2021-06-16,"Unit_1",89,12,"18.2","25.6","56","Fledged",8.18,NA,NA,NA,167,2021,16.3703703703704,19.4444444444444,NA,NA,NA
2,"T21N385","Cold_Control",2021-06-16,"Unit_2",92,12,"21.1","25.9","51","Fledged",9.34,NA,NA,NA,167,2021,16.3703703703704,19.4444444444444,21.3703703703704,17.7728395061728,4
2,"T21N386","Cold_Control",2021-06-16,"Unit_1",114,12,"20.6","26.5","56","Fledged",8.33,NA,NA,NA,167,2021,16.3703703703704,19.4444444444444,21.3703703703704,17.7728395061728,4
2,"T21N389","Cold_Control",2021-06-16,"Unit_1",114,12,"20.8","26.5","58","Fledged",7.7,NA,NA,NA,167,2021,16.3703703703704,19.4444444444444,21.3703703703704,17.7728395061728,4
3,"T21N182","Cold_Cold",2021-06-12,"Unit_1",13,10,"24.4","26.3","45","Fledged",8.41,NA,NA,NA,163,2021,21.0740740740741,25.5555555555556,22.2916666666667,18.3935185185185,4
3,"T21N184","Cold_Cold",2021-06-12,"Unit_1",62,10,"24.1","15.3","33","Dead",10.4,NA,NA,NA,163,2021,21.0740740740741,25.5555555555556,22.2916666666667,18.3935185185185,4
3,"T21N185","Cold_Cold",2021-06-12,"Unit_2",7,10,"17.6","24.9","43","Fledged",12.38,NA,NA,NA,163,2021,21.0740740740741,25.5555555555556,22.3202614379085,18.4509803921569,4
3,"T21N191","Cold_Control",2021-06-12,"Unit_2",120,10,"20","26.7","48","Fledged",7.98,NA,NA,NA,163,2021,21.0740740740741,25.5555555555556,22.3202614379085,18.4509803921569,4
3,"T21N212","Cold_Cold",2021-06-13,"Unit_2",6,10,"20.9","26.2","43","Fledged",8.01,NA,NA,NA,164,2021,24.7777777777778,28.8888888888889,22.0833333333333,18.3287037037037,4
3,"T21N233","Cold_Cold",2021-06-14,"Unit_1",13,12,"21.7","26.5","55","Fledged",7.42,NA,NA,NA,165,2021,20.3333333333333,24.4444444444444,22.2916666666667,18.3935185185185,4
3,"T21N235","Cold_Cold",2021-06-14,"Unit_1",13,12,"22.1","26.9","58","Fledged",8.39,NA,NA,NA,165,2021,20.3333333333333,24.4444444444444,22.2916666666667,18.3935185185185,4
3,"T21N236","Cold_Control",2021-06-14,"Unit_1",19,10,"20.8","26.2","48","Fledged",10.53,NA,NA,NA,165,2021,20.3333333333333,24.4444444444444,21.3703703703704,17.7728395061728,4
3,"T21N242","Cold_Control",2021-06-14,"Unit_1",25,12,"18.3","26.3","52","Dead",10.66,NA,NA,NA,165,2021,20.3333333333333,24.4444444444444,22.2916666666667,18.3935185185185,4
3,"T21N243","Cold_Control",2021-06-14,"Unit_1",25,12,"19.5","26.3","50","Fledged",11.6,NA,NA,NA,165,2021,20.3333333333333,24.4444444444444,22.2916666666667,18.3935185185185,4
3,"T21N244","Cold_Control",2021-06-14,"Unit_1",25,12,"20.3","26.7","57","Fledged",9.87,NA,NA,NA,165,2021,20.3333333333333,24.4444444444444,22.2916666666667,18.3935185185185,4
3,"T21N245","Cold_Control",2021-06-14,"Unit_1",25,12,"18.1","26.1","58","Dead",11.49,NA,NA,NA,165,2021,20.3333333333333,24.4444444444444,22.2916666666667,18.3935185185185,4
