"gel","Telomere_Sample_nb","Mean_TRF","Individual_Band","Individual_Treatment","Age","Site","Nestling_Fate","Exp_Year","Experiment","Capture_Date","Nest","Mass","Bill.Head","Flat_Wing","Blood_DNA_Sample_nb","yday","year","avgC_capture_day","maxC_capture_day","incubation_max_temp","incubation_avg_temp","incubation_below_18.5"
2,"T21N289",8.05,281174485,"Prev_Cort",12,"Unit_2","Fledged",2021,"Carryover",2021-06-15,104,20.9,26.5,56,210523,166,2021,16.2962962962963,18.3333333333333,21.031746031746,17.4312169312169,4
2,"T21N291",8.69,281174487,"Prev_Cort",12,"Unit_2","Fledged",2021,"Carryover",2021-06-15,104,21.2,26,57,210525,166,2021,16.2962962962963,18.3333333333333,21.031746031746,17.4312169312169,4
2,"T21N292",10.41,272108257,"Prev_Control",12,"Unit_1","Fledged",2021,"Carryover",2021-06-15,432,22.1,27.9,64,210526,166,2021,16.2962962962963,18.3333333333333,22.2549019607843,18.4618736383442,4
2,"T21N293",9.85,272108258,"Prev_Control",12,"Unit_1","Fledged",2021,"Carryover",2021-06-15,432,23.2,28,64,210527,166,2021,16.2962962962963,18.3333333333333,22.2549019607843,18.4618736383442,4
2,"T21N294",8.83,272108259,"Prev_Control",12,"Unit_1","Fledged",2021,"Carryover",2021-06-15,432,20.8,27.2,66,210528,166,2021,16.2962962962963,18.3333333333333,22.2549019607843,18.4618736383442,4
2,"T21N295",9.39,272108260,"Prev_Control",12,"Unit_1","Fledged",2021,"Carryover",2021-06-15,432,22.3,27.6,66,210529,166,2021,16.2962962962963,18.3333333333333,22.2549019607843,18.4618736383442,4
2,"T21N296",8.22,281174783,"Prev_Control",12,"Unit_2","Fledged",2021,"Carryover",2021-06-15,107,20.7,25.3,52,210530,166,2021,16.2962962962963,18.3333333333333,21.7037037037037,18.0222222222222,4
2,"T21N297",8.38,281174784,"Prev_Control",12,"Unit_2","Fledged",2021,"Carryover",2021-06-15,107,22,25,50,210531,166,2021,16.2962962962963,18.3333333333333,21.7037037037037,18.0222222222222,4
2,"T21N298",8.47,281174785,"Prev_Control",12,"Unit_2","Fledged",2021,"Carryover",2021-06-15,107,20.3,25.7,62,210532,166,2021,16.2962962962963,18.3333333333333,21.7037037037037,18.0222222222222,4
2,"T21N299",8.89,281174786,"Prev_Control",12,"Unit_2","Fledged",2021,"Carryover",2021-06-15,107,21,25.8,60,210533,166,2021,16.2962962962963,18.3333333333333,21.7037037037037,18.0222222222222,4
2,"T21N300",8.68,281174787,"Prev_Control",12,"Unit_2","Fledged",2021,"Carryover",2021-06-15,107,20,25.7,58,210534,166,2021,16.2962962962963,18.3333333333333,21.7037037037037,18.0222222222222,4
2,"T21N301",9.09,281174788,"Prev_Control",12,"Unit_2","Fledged",2021,"Carryover",2021-06-15,121,22,26.5,62,210535,166,2021,16.2962962962963,18.3333333333333,21.7037037037037,18.0222222222222,4
2,"T21N302",9.27,281174789,"Prev_Control",12,"Unit_2","Fledged",2021,"Carryover",2021-06-15,121,21,25.2,59,210536,166,2021,16.2962962962963,18.3333333333333,21.7037037037037,18.0222222222222,4
2,"T21N303",8.94,281174790,"Prev_Control",12,"Unit_2","Fledged",2021,"Carryover",2021-06-15,121,20.6,25.4,60,210537,166,2021,16.2962962962963,18.3333333333333,21.7037037037037,18.0222222222222,4
3,"T21N304",9.09,281174791,"Prev_Control",12,"Unit_2","Fledged",2021,"Carryover",2021-06-15,121,21.7,25.2,59,210538,166,2021,16.2962962962963,18.3333333333333,21.7037037037037,18.0222222222222,4
